169,Bermuda (Bermuda),バミューダ（バミューダ諸島）,1000
170,Palau,パラオ,1000
171,Paraguay,パラグアイ,1000
172,Barbados,バルバドス,1000
173,Palestine,パレスチナ,1000
174,Hungary,ハンガリー,1000
175,Bangladesh,バングラデシュ,1000
176,East Timor,東ティモール,1000
177,Pitcairn (Pitcairn Islands),ピトケアン（ピトケアン諸島）,1000
178,Fiji,フィジー,1000
179,Philippines,フィリピン,1000
180,Finland,フィンランド,1000
181,Bhutan,ブータン,1000
182,Bv,ブーベ島,1000
183,Puerto Rico,プエルトリコ,1000
184,Faeroe Islands,フェロー諸島,1000
185,Falkland (Malvinas) Islands,フォークランド（マルビナス）諸島,1000
186,Brazil,ブラジル,1000
187,France,フランス,3
188,French Guiana,フランス領ギアナ,1000
189,French Polynesia,フランス領ポリネシア,1000
190,French Southern Territories,フランス領南方・南極地域,1000
191,Bulgaria,ブルガリア,1000
192,Burkina Faso,ブルキナファソ,1000
193,Brunei (Brunei Darussalam),ブルネイ（ブルネイ・ダルサラーム）,1000
194,Burundi,ブルンジ,1000
195,Vietnam,ベトナム,1000
196,Benin,ベナン,1000
197,Venezuela (Bolivarian Republic of Venezuela),ベネズエラ（ベネズエラ・ボリバル共和国）,1000
198,Belarus,ベラルーシ,1000
199,Belize,ベリーズ,1000
200,Peru,ペルー,1000
201,Belgium,ベルギー,1000
202,Poland,ポーランド,1000
203,Bosnia-Herzegovina,ボスニア・ヘルツェゴビナ,1000
204,Botswana,ボツワナ,1000
205,"BES Islands (Bonaire, Sint Eustatius and Saba)",BES諸島（ボネール、シント・ユースタティウスおよびサバ）,1000
206,Bolivia (Bolivia multi-ethnic country),ボリビア（ボリビア多民族国）,1000
207,Portugal,ポルトガル,1000
208,Hong Kong,香港,1000
209,Honduras,ホンジュラス,1000
210,Marshall,マーシャル諸島,1000
211,Macau,マカオ,1000
212,Republic of Macedonia (the former Yugoslav Republic of Macedonia),マケドニア共和国（マケドニア旧ユーゴスラビア共和国）,1000
213,Madagascar,マダガスカル,1000
214,Mayotte,マヨット,1000
215,Malawi,マラウイ,1000
216,Mali (Mali),マリ共和国（マリ）,1000
217,Malta,マルタ,1000
218,Martinique,マルティニーク,1000
219,Malaysia,マレーシア,1000
220,The Isle of Man,マン島,1000
221,Federated States of Micronesia,ミクロネシア連邦,1000
222,Republic of South Africa (South Africa),南アフリカ共和国（南アフリカ）,1000
223,Southern Sudan,南スーダン,1000
224,Myanmar,ミャンマー,1000
225,Mexico,メキシコ,1000
226,Mauritius,モーリシャス,1000
227,Mauritania,モーリタニア,1000
228,Mozambique,モザンビーク,1000
229,Monaco,モナコ,1000
230,Maldives,モルディブ,1000
231,Moldova (Republic of Moldova),モルドバ（モルドバ共和国）,1000
232,Morocco,モロッコ,1000
233,Mongolia,モンゴル国,1000
234,Montenegro,モンテネグロ,1000
235,Montserrat,モントセラト,1000
236,Jordan,ヨルダン,1000
237,Laos (Lao People's Democratic Republic),ラオス（ラオス人民民主共和国）,1000
238,Latvia,ラトビア,1000
239,Lithuania,リトアニア,1000
240,Libya,リビア,1000
241,Liechtenstein,リヒテンシュタイン,1000
242,Liberia,リベリア,1000
243,Romania,ルーマニア,1000
244,Luxembourg,ルクセンブルク,1000
245,Rwanda,ルワンダ,1000
246,Lesotho,レソト,1000
247,Lebanon,レバノン,1000
248,Reunion,レユニオン,1000
249,Russia (Russian Federation),ロシア（ロシア連邦）,1000
